year,month,extent_mkm2,area_mkm2
2018,5,12.23,10.81
2019,5,12.19,10.5
2020,5,12.34,10.51
2021,5,12.68,10.86
2022,5,12.88,11.1
2023,5,12.82,11.05
2024,5,12.74,11.07
2025,5,12.49,10.28
2026,5,12.14,10.33
1979,6,12.53,9.34
1980,6,12.2,9.0
1981,6,12.43,9.03
1982,6,12.48,9.46
1983,6,12.3,9.27
1984,6,12.15,9.09
1985,6,12.22,8.96
1986,6,11.98,8.99
1987,6,12.49,9.39
1988,6,11.94,9.68
1989,6,12.24,9.95
1990,6,11.64,9.2
1991,6,12.11,9.66
1992,6,12.15,9.95
1993,6,11.87,9.26
1994,6,12.02,9.68
1995,6,11.44,8.94
1996,6,12.08,9.83
1997,6,11.74,9.2
1998,6,11.71,9.18
1999,6,11.78,9.25
2000,6,11.67,9.05
2001,6,11.46,9.09
2002,6,11.58,9.19
2003,6,11.6,9.11
2004,6,11.45,9.24
2005,6,11.16,8.81
2006,6,10.92,8.41
2007,6,11.22,8.21
2008,6,11.21,8.85
2009,6,11.32,9.25
2010,6,10.59,8.37
2011,6,10.75,8.54
2012,6,10.67,8.16
2013,6,11.36,8.95
2014,6,11.03,8.76
2015,6,10.88,8.7
2016,6,10.41,8.21
2017,6,10.76,8.63
2018,6,10.78,8.79
2019,6,10.59,8.32
2020,6,10.59,8.41
2021,6,10.77,8.39
2022,6,10.88,8.61
2023,6,10.99,8.69
2024,6,10.85,8.6
2025,6,10.4,8.15
2026,6,10.42,8.14
1979,7,10.31,6.69
1980,7,10.1,6.53
1981,7,10.27,6.31
1982,7,10.37,6.87
1983,7,10.57,6.86
1984,7,9.98,6.3
1985,7,9.74,5.99
1986,7,10.15,6.62
1987,7,10.33,6.55
1988,7,9.81,7.01
1989,7,10.13,7.33
1990,7,9.25,6.52
1991,7,9.51,6.76
1992,7,10.32,7.22
1993,7,9.48,6.28
1994,7,9.93,6.92
1995,7,8.99,6.16
1996,7,10.16,7.44
1997,7,9.41,6.5
1998,7,9.42,6.45
1999,7,9.49,6.55
2000,7,9.51,6.39
2001,7,9.07,6.29
2002,7,9.27,6.44
2003,7,9.21,6.15
2004,7,9.43,6.51
2005,7,8.65,5.9
2006,7,8.46,5.79
2007,7,7.94,5.13
2008,7,8.68,6.06
2009,7,8.47,6.12
2010,7,8.07,5.57
2011,7,7.72,5.4
2012,7,7.67,5.09
2013,7,8.13,5.81
2014,7,8.11,5.96
2015,7,8.38,5.66
2016,7,7.94,5.37
2017,7,7.94,5.65
2018,7,8.27,5.76
2019,7,7.59,5.13
2020,7,7.29,5.07
2021,7,7.65,5.53
2022,7,8.29,5.89
2023,7,8.21,5.54
2024,7,7.87,5.16
2025,7,7.66,5.17
2026,7,7.71,5.41
1979,8,8.04,5.06
1980,8,7.98,4.94
1981,8,7.84,4.48
1982,8,8.14,5.0
1983,8,8.19,4.97
1984,8,7.77,4.68
1985,8,7.4,4.6
1986,8,7.98,5.01
1987,8,7.63,-9999.0
1988,8,7.89,5.42
1989,8,7.88,5.56
1990,8,6.8,4.99
1991,8,7.42,5.21
1992,8,7.93,5.44
1993,8,7.33,4.76
1994,8,7.64,5.19
1995,8,6.74,4.69
1996,8,8.18,5.73
1997,8,7.29,5.09
1998,8,7.51,4.69
1999,8,7.23,4.75
2000,8,7.17,4.78
2001,8,7.46,4.94
2002,8,6.6,4.32
2003,8,6.94,4.52
2004,8,6.85,4.67
2005,8,6.3,4.21
2006,8,6.5,4.31
2007,8,5.34,3.19
2008,8,5.91,3.79
2009,8,6.14,4.16
2010,8,5.87,3.88
2011,8,5.5,3.38
2012,8,4.72,2.93
2013,8,6.01,4.17
2014,8,6.08,4.37
2015,8,5.6,3.63
2016,8,5.37,3.31
2017,8,5.48,3.64
2018,8,5.61,3.9
2019,8,5.03,3.24
2020,8,5.07,3.1
2021,8,5.71,3.78
2022,8,5.95,4.03
2023,8,5.51,3.52
2024,8,5.13,3.09
2025,8,5.39,3.33
2026,8,5.56,3.43
1979,9,7.05,4.58
1980,9,7.67,4.87
1981,9,7.14,4.44
1982,9,7.3,4.43
1983,9,7.39,4.7
1984,9,6.81,4.11
1985,9,6.7,4.23
1986,9,7.41,4.72
1987,9,7.28,5.64
1988,9,7.37,5.36
1989,9,7.01,4.86
1990,9,6.14,4.55
1991,9,6.47,4.51
1992,9,7.47,5.43
1993,9,6.4,4.58
1994,9,7.14,5.13
1995,9,6.08,4.43
1996,9,7.58,5.62
1997,9,6.69,4.89
1998,9,6.54,4.3
1999,9,6.12,4.29
2000,9,6.25,4.35
2001,9,6.73,4.59
2002,9,5.83,4.03
2003,9,6.12,4.05
2004,9,5.98,4.39
2005,9,5.5,4.07
2006,9,5.86,4.01
2007,9,4.27,2.82
2008,9,4.69,3.26
2009,9,5.26,3.76
2010,9,4.87,3.34
2011,9,4.56,3.21
2012,9,3.57,2.41
2013,9,5.21,3.78
2014,9,5.22,3.74
2015,9,4.62,3.42
2016,9,4.53,2.91
2017,9,4.82,3.35
2018,9,4.79,3.35
2019,9,4.36,3.17
2020,9,4.0,2.83
2021,9,4.95,3.47
2022,9,4.9,3.47
2023,9,4.38,2.83
2024,9,4.35,2.91
2025,9,4.75,3.08
1979,10,8.75,6.19
1980,10,9.18,6.5
1981,10,8.86,6.27
1982,10,9.42,6.67
1983,10,9.33,6.79
1984,10,8.56,5.91
1985,10,8.55,6.12
1986,10,9.48,6.83
1987,10,9.05,7.49
1988,10,9.13,7.52
1989,10,8.83,6.96
1990,10,8.48,6.74
1991,10,8.54,6.75
1992,10,9.32,7.74
1993,10,8.79,7.06
1994,10,8.92,7.23
1995,10,7.83,5.99
1996,10,9.16,7.54
1997,10,8.34,6.47
1998,10,8.45,6.71
1999,10,8.6,6.83
2000,10,8.38,6.69
2001,10,8.3,6.65
2002,10,8.16,6.24
2003,10,7.85,5.98
2004,10,7.93,6.4
2005,10,7.35,5.78
2006,10,7.54,5.8
2007,10,6.04,4.33
2008,10,7.35,5.77
2009,10,6.92,5.24
2010,10,6.98,5.48
2011,10,6.46,5.02
2012,10,5.89,4.58
2013,10,7.45,5.95
2014,10,7.23,5.7
2015,10,6.97,5.49
2016,10,6.08,4.4
2017,10,6.77,5.3
2018,10,6.13,4.59
2019,10,5.73,4.53
2020,10,5.33,4.11
2021,10,6.82,5.43
2022,10,6.66,5.25
2023,10,6.41,4.88
2024,10,5.93,4.54
2025,10,6.32,4.69
1978,11,11.65,9.04
1979,11,10.94,8.37
1980,11,11.38,8.73
1981,11,10.93,8.31
1982,11,11.63,9.06
1983,11,11.46,8.99
1984,11,10.84,8.24
1985,11,11.02,8.42
1986,11,11.45,8.87
1987,11,11.22,9.73
1988,11,11.33,9.91
1989,11,11.12,9.46
1990,11,11.08,9.64
1991,11,10.88,9.25
1992,11,11.38,9.75
1993,11,11.32,9.54
1994,11,11.12,9.71
1995,11,10.76,9.03
1996,11,10.4,8.77
1997,11,10.68,9.07
1998,11,10.44,8.88
1999,11,10.8,9.26
2000,11,10.32,8.87
2001,11,10.66,9.08
2002,11,10.34,8.75
2003,11,10.13,8.57
2004,11,10.34,8.95
2005,11,10.22,8.8
2006,11,9.66,8.13
2007,11,9.76,8.06
2008,11,10.34,9.05
2009,11,9.77,8.36
2010,11,9.61,8.43
2011,11,9.77,8.52
2012,11,9.39,8.06
2013,11,9.94,8.66
2014,11,10.11,8.75
2015,11,9.85,8.48
2016,11,8.66,7.01
2017,11,9.49,8.08
2018,11,9.82,8.43
2019,11,9.35,7.98
2020,11,8.99,7.53
2021,11,9.83,8.57
2022,11,9.73,8.52
2023,11,9.68,8.3
2024,11,9.15,7.74
2025,11,8.77,7.36
1978,12,13.67,10.9
1979,12,13.34,10.63
1980,12,13.59,10.78
1981,12,13.34,10.54
1982,12,13.64,10.88
1983,12,13.3,10.63
1984,12,12.99,10.27
1985,12,13.05,10.24
1986,12,13.22,10.53
1988,12,13.63,11.99
1989,12,13.39,11.61
1990,12,13.11,11.47
1991,12,12.95,11.19
1992,12,13.41,11.72
1993,12,13.32,11.48
1994,12,13.27,11.49
1995,12,12.92,11.09
1996,12,12.86,11.03
1997,12,13.08,11.24
1998,12,12.76,10.91
1999,12,12.64,10.99
2000,12,12.64,10.96
2001,12,12.49,10.55
2002,12,12.61,10.64
2003,12,12.59,10.8
2004,12,12.55,10.98
2005,12,12.23,10.56
2006,12,11.95,10.17
2007,12,12.03,10.18
2008,12,12.36,10.97
2009,12,12.2,10.59
2010,12,11.83,10.43
2011,12,12.15,10.63
2012,12,12.01,10.45
2013,12,12.18,10.87
2014,12,12.35,10.89
2015,12,12.04,10.64
2016,12,11.46,9.62
2017,12,11.74,10.26
2018,12,11.86,10.45
2019,12,11.9,10.52
2020,12,11.73,10.16
2021,12,12.15,10.74
2022,12,11.89,10.27
2023,12,11.98,10.34
2024,12,11.41,10.03
2025,12,11.22,9.6
