country_code,year,rd_pct_gdp,country_name
AUS,1981,0.899980127,Australia
AUS,1984,1.02037008,Australia
AUS,1986,1.174999564,Australia
AUS,1987,1.133897857,Australia
AUS,1988,1.159706799,Australia
AUS,1990,1.2556084,Australia
AUS,1992,1.457329245,Australia
AUS,1994,1.503554578,Australia
AUS,1996,1.577024377,Australia
AUS,1998,1.431683515,Australia
AUS,2000,1.4697558,Australia
AUS,2002,1.642326874,Australia
AUS,2004,1.722729872,Australia
AUS,2006,1.995974542,Australia
AUS,2008,2.236172625,Australia
AUS,2010,2.172599178,Australia
AUS,2011,2.105158998,Australia
AUS,2013,2.083741877,Australia
AUS,2015,1.873241527,Australia
AUS,2017,1.788170341,Australia
AUS,2019,1.789939296,Australia
AUS,2021,1.658221012,Australia
AUS,2023,1.682148487,Australia
CAN,1981,1.198562268,Canada
CAN,1982,1.339066054,Canada
CAN,1983,1.308993724,Canada
CAN,1984,1.342897837,Canada
CAN,1985,1.380125473,Canada
CAN,1986,1.416554317,Canada
CAN,1987,1.369407455,Canada
CAN,1988,1.352381742,Canada
CAN,1989,1.417405845,Canada
CAN,1990,1.475195578,Canada
CAN,1991,1.534684292,Canada
CAN,1992,1.578150315,Canada
CAN,1993,1.630976779,Canada
CAN,1994,1.684655518,Canada
CAN,1995,1.653878389,Canada
CAN,1996,1.606821782,Canada
CAN,1997,1.613803111,Canada
CAN,1998,1.710492181,Canada
CAN,1999,1.749829105,Canada
CAN,2000,1.858470207,Canada
CAN,2001,2.021156042,Canada
CAN,2002,1.971694588,Canada
CAN,2003,1.967807056,Canada
CAN,2004,1.997333295,Canada
CAN,2005,1.971243467,Canada
CAN,2006,1.94299895,Canada
CAN,2007,1.903577511,Canada
CAN,2008,1.855777859,Canada
CAN,2009,1.917415394,Canada
CAN,2010,1.825037454,Canada
CAN,2011,1.787140592,Canada
CAN,2012,1.773039748,Canada
CAN,2013,1.706245298,Canada
CAN,2014,1.714824517,Canada
CAN,2015,1.693594535,Canada
CAN,2016,1.729024677,Canada
CAN,2017,1.687018047,Canada
CAN,2018,1.737193465,Canada
CAN,2019,1.755776696,Canada
CAN,2020,1.934135455,Canada
CAN,2021,1.870638981,Canada
CAN,2022,1.844834732,Canada
CAN,2023,1.935484306,Canada
CAN,2024,1.792668031,Canada
CAN,2025,1.805384057,Canada
CHE,1981,1.887901776,Switzerland
CHE,1983,1.902111238,Switzerland
CHE,1986,2.414808118,Switzerland
CHE,1989,2.398933093,Switzerland
CHE,1992,2.275020357,Switzerland
CHE,1996,2.340226111,Switzerland
CHE,2000,2.238910375,Switzerland
CHE,2004,2.575659745,Switzerland
CHE,2008,2.618634407,Switzerland
CHE,2012,2.827352426,Switzerland
CHE,2015,2.993660564,Switzerland
CHE,2017,2.99730447,Switzerland
CHE,2019,3.085606846,Switzerland
CHE,2021,3.150469561,Switzerland
CHE,2023,3.103760271,Switzerland
DEU,1981,2.351612025,Germany
DEU,1982,2.420257159,Germany
DEU,1983,2.409191,Germany
DEU,1984,2.428473604,Germany
DEU,1985,2.585306935,Germany
DEU,1986,2.630580041,Germany
DEU,1987,2.727706477,Germany
DEU,1988,2.729448108,Germany
DEU,1989,2.711178852,Germany
DEU,1990,2.605879436,Germany
DEU,1991,2.377944346,Germany
DEU,1992,2.26263023,Germany
DEU,1993,2.197871929,Germany
DEU,1994,2.116501571,Germany
DEU,1995,2.12921934,Germany
DEU,1996,2.136627121,Germany
DEU,1997,2.181613426,Germany
DEU,1998,2.207483126,Germany
DEU,1999,2.327719185,Germany
DEU,2000,2.386541373,Germany
DEU,2001,2.379195593,Germany
DEU,2002,2.40856456,Germany
DEU,2003,2.442322999,Germany
DEU,2004,2.402776358,Germany
DEU,2005,2.40265936,Germany
DEU,2006,2.430433933,Germany
DEU,2007,2.419182526,Germany
DEU,2008,2.571915784,Germany
DEU,2009,2.689612185,Germany
DEU,2010,2.677141377,Germany
DEU,2011,2.75105746,Germany
DEU,2012,2.826097354,Germany
DEU,2013,2.781443017,Germany
DEU,2014,2.822838427,Germany
DEU,2015,2.8759623,Germany
DEU,2016,2.884741723,Germany
DEU,2017,2.986808596,Germany
DEU,2018,3.047994485,Germany
DEU,2019,3.110452381,Germany
DEU,2020,3.088716876,Germany
DEU,2021,3.073686254,Germany
DEU,2022,3.043604611,Germany
DEU,2023,3.128664165,Germany
DEU,2024,3.131691834,Germany
DNK,1981,1.020639963,Denmark
DNK,1982,1.057154765,Denmark
DNK,1983,1.105072625,Denmark
DNK,1984,1.131082265,Denmark
DNK,1985,1.162335903,Denmark
DNK,1986,1.241311851,Denmark
DNK,1987,1.329990343,Denmark
DNK,1988,1.40313426,Denmark
DNK,1989,1.448433978,Denmark
DNK,1990,1.519334851,Denmark
DNK,1991,1.583792536,Denmark
DNK,1992,1.613414955,Denmark
DNK,1993,1.691418463,Denmark
DNK,1995,1.79056462,Denmark
DNK,1996,1.80812716,Denmark
DNK,1997,1.892371833,Denmark
DNK,1998,2.007490739,Denmark
DNK,1999,2.128567967,Denmark
DNK,2001,2.323393236,Denmark
DNK,2002,2.439355684,Denmark
DNK,2003,2.507107185,Denmark
DNK,2004,2.413276815,Denmark
DNK,2005,2.387210064,Denmark
DNK,2006,2.398752589,Denmark
DNK,2007,2.509208695,Denmark
DNK,2008,2.760812537,Denmark
DNK,2009,3.042094096,Denmark
DNK,2010,2.913896104,Denmark
DNK,2011,2.941979162,Denmark
DNK,2012,2.984498184,Denmark
DNK,2013,2.961460348,Denmark
DNK,2014,2.915423454,Denmark
DNK,2015,3.064221197,Denmark
DNK,2016,3.102087636,Denmark
DNK,2017,2.935755868,Denmark
DNK,2018,2.978949957,Denmark
DNK,2019,2.906057211,Denmark
DNK,2020,2.965324039,Denmark
DNK,2021,2.758551258,Denmark
DNK,2022,2.880210849,Denmark
DNK,2023,3.066791239,Denmark
DNK,2024,3.013053944,Denmark
FIN,1981,1.146573166,Finland
FIN,1983,1.302420582,Finland
FIN,1984,1.431935679,Finland
FIN,1985,1.516045536,Finland
FIN,1986,1.599604681,Finland
FIN,1987,1.687469462,Finland
FIN,1988,1.71779315,Finland
FIN,1989,1.748076478,Finland
FIN,1990,1.819921903,Finland
FIN,1991,1.968220404,Finland
FIN,1992,2.0606423,Finland
FIN,1993,2.097604613,Finland
FIN,1994,2.215577113,Finland
FIN,1995,2.206494945,Finland
FIN,1996,2.455107988,Finland
FIN,1997,2.622595256,Finland
FIN,1998,2.785419197,Finland
FIN,1999,3.056869378,Finland
FIN,2000,3.242712915,Finland
FIN,2001,3.194054604,Finland
FIN,2002,3.254085721,Finland
FIN,2003,3.298982296,Finland
FIN,2004,3.309426585,Finland
FIN,2005,3.32412277,Finland
FIN,2006,3.332849052,Finland
FIN,2007,3.337273481,Finland
FIN,2008,3.537186813,Finland
FIN,2009,3.734268248,Finland
FIN,2010,3.705241487,Finland
FIN,2011,3.624341403,Finland
FIN,2012,3.409500045,Finland
FIN,2013,3.284618446,Finland
FIN,2014,3.163440286,Finland
FIN,2015,2.888264063,Finland
FIN,2016,2.747164109,Finland
FIN,2017,2.747234164,Finland
FIN,2018,2.776007417,Finland
FIN,2019,2.815343077,Finland
FIN,2020,2.932775491,Finland
FIN,2021,3.011328006,Finland
FIN,2022,2.981997858,Finland
FIN,2023,3.09127635,Finland
FIN,2024,3.22203824,Finland
FRA,1981,1.886963967,France
FRA,1982,1.9695491,France
FRA,1983,2.007653568,France
FRA,1984,2.096528983,France
FRA,1985,2.154124539,France
FRA,1986,2.13769694,France
FRA,1987,2.179793645,France
FRA,1988,2.169502159,France
FRA,1989,2.213051237,France
FRA,1990,2.295001583,France
FRA,1991,2.296130692,France
FRA,1992,2.302479514,France
FRA,1993,2.333688308,France
FRA,1994,2.281782643,France
FRA,1995,2.249333351,France
